tidak_baku,bentuk_baku
jap,jab
japuk,japu
jarang,jerang
jariat,jariah
jaru,jaharu
jasirah,jazirah
jazirat,jazirah
jebik,cebik
jejamang,jamang
jeket,jaket
jelantik,gelatik
jelatik,gelatik
jelentik,selentik
jelepak,jelepok
jemerlang,cemerlang
jempalik,jempalit
jenasah,jenazah
jenayah,jinayah
jender,gender
jendral,jenderal
jenela,jendela
jengat,jangat
jengget,jengket
jengkerik,jangkrik
jenius,genius
jenjeng,jinjing
jentur,jantur
jepet,jepit
jerafah,jerapah
jeragan,juragan
jerajak,jerjak
jeram,jaram
jerangkah,ceranggah
jerejak,jerjak
jeremang,jermang
jerembet,jerepet
jerepak,jerempak
jerigen,jeriken
jerobong,jerubung
jerongkes,jerungkis
jerpak,jerempak
jerumbung,jerubung
jerungkup,jerukup
jiarah,ziarah
jibilat,jibilah
jibrail,jibril
jidal,bidal
jidor,jidur
jijitsu,yuyitsu
jina,zina
jinayat,jinayah
jingkau,jangkau
jinten,jintan
jipsi,gipsi
jirat,jerat
joak,juak
joang,juang
joged,joget
jogi,yogi
jogjakarta,yogyakarta
jokong,jongkong
jomblo,jomlo
jongkah,jongkang
jongkang,jongkong
jubung,jerubung
jugi,yogi
juhur,zuhur
juja,jauza
jujat,jujah
jukung,jongkong
jum'at,jumat
jumanten,jumantan
jumawa,jemawa
jumrah,jamrah
jumroh,jamrah
jungkel,jungkal
jungkung,jongkong
jurah,jura
juran,joran
juri,jori
juriat,zuriah
jus,juz
juwita,juita
kabab,kebab
kabuli,kebuli
kaca mata,kacamata
kaco,kacau
kacoak,kecoak
kadal,kedal
kadaluarsa,kedaluwarsa
kadaluwarsa,kedaluwarsa
kadam,khadam
kademat,khidmat
kadha,qada
kaedah,kaidah
kafein,kafeina
kah,engkah
kahang,kohong
kahwin,kawin
kakar,kekar
kakatua,kakaktua
kalakatu,kelekatu
kalambak,kelembak
kaledioskop,kaleidoskop
kalembak,kelembak
kalendar,kalender
kalifah,khalifah
kalikasar,kalikausar
kalikausar,alkausar
kalipah,khalifah
kalkarim,kalkarium
kalkausar,alkausar
kalo,kalau
kaluk,keluk
kalulus,kelulus
kamat,ikamah
kamboja,kemboja
kambrat,kamerad
kameli,kambeli
kameramen,kamerawan
kamfer,kamper
kamir,khamir
kamis,gamis
kamkama,kurkuma
kampak,kapak
kampang,kapang
kampit,kampil
kana,katakana
kanaat,kanaah
kanah,kanaah
kanat,kanaah
kancana,kencana
kandar,gandar
kangguru,kanguru
kangker,kanker
kanjar,khanjar
kantil,kontal-kantil
kanun,qanun
kaos,kaus
kapan,kafan
kaparat,kafarat
kapela,kapel
kaper,karper
kapilah,kafilah
kapir,kafir
kapiten,kapten
kapling,kaveling
karaba,karamba
karak,kerak
karbid,karbida
karbit,karbida
karbonium,karbon
kardan,gardan
karesidenan,keresidenan
kari,qari
kariah,qariah
karir,karier
karkausar,alkausar
karnitin,karnitina
karnivora,karnivor
karnosin,karnosina
karosel,korsel
karoten,karotena
karotin,karotena
karpus,kerpus
kartonis,kartunis
karya wisata,karyawisata
karyat,karyah
kasab,kasap
kasah,kasa
kasak-kisik,kasak-kusuk
kasar,qasar
kasat mata,kasatmata
kasemek,kesemek
kasep,kasip
kasiat,khasiat
kasima,kesima
kastil,kastel
kasuma,kusuma
kasumat,kesumat
kasuwari,kasuari
kaswi,kasui
katagori,kategori
katalisa,katalisis
katalogus,katalog
katam,khatam
katan,khitan
katastrofi,katastrofe
kate,katai
katek,ketek
katholik,katolik
katib,khatib
katik,katai
katirah,ketirah
katlum,katelum
katulistiwa,khatulistiwa
kaula,kawula
kaung,kawung
kausar,alkausar
kavling,kaveling
kawatir,khawatir
kawul,kaul
kaya,kayak
kayal,khayal
kayambang,kiambang
kazanah,khazanah
kebambam,kebembem
kebin,kabin
kebit,kebat
kebo,kerbau
kebul,kepul
kecik,kecil
kecindan,kecandan
kecipung,kecimpung
kecoa,kecoak
kecuak,kecoak
kecundang,cundang
keda,kedah
kedaluarsa,kedaluwarsa
kedan,kejan
kedar,kadar
kedeki,kedekai
kedekik,kedekai
kedele,kedelai
kedemat,khidmat
kedengkung,kedengkang
kedewaga,kedewas
kedongdong,kedondong
kefakuman,kevakuman
kejibeling,kecibeling
kejolak,gejolak
kekah,akikah
